Unnamed: 0,Label
3450.0,Stable
3451.0,Stable
3452.0,Stable
3453.0,Stable
3454.0,Stable
3455.0,Stable
3456.0,Stable
3457.0,Stable
3458.0,Stable
3459.0,Stable
3460.0,Stable
3461.0,Stable
3462.0,Stable
3463.0,Stable
3464.0,Stable
3465.0,Stable
3466.0,Stable
3467.0,Stable
3468.0,Stable
3469.0,Stable
3470.0,Stable
3471.0,Stable
3472.0,Stable
3473.0,Stable
3474.0,Stable
3475.0,Stable
3476.0,Stable
3477.0,Stable
3478.0,Stable
3479.0,Stable
3480.0,Stable
3481.0,Stable
3482.0,Stable
3483.0,Stable
3484.0,Stable
3485.0,Stable
3486.0,Stable
3487.0,Stable
3488.0,Stable
3489.0,Stable
3490.0,Stable
3491.0,Stable
3492.0,Stable
3493.0,Stable
3494.0,Stable
3495.0,Stable
3496.0,Stable
3497.0,Stable
3498.0,Stable
3499.0,Stable
3500.0,Stable
3501.0,Stable
3502.0,Stable
3503.0,Stable
3504.0,Stable
3505.0,Stable
3506.0,Stable
3507.0,Stable
3508.0,Stable
3509.0,Stable
3510.0,Stable
3511.0,Stable
3512.0,Stable
3513.0,Stable
3514.0,Stable
3515.0,Stable
3516.0,Stable
3517.0,Stable
3518.0,Stable
3519.0,Stable
3520.0,Stable
3521.0,Stable
3522.0,Stable
3523.0,Stable
3524.0,Stable
3525.0,Stable
3526.0,Stable
3527.0,Stable
3528.0,Stable
3529.0,Stable
3530.0,Stable
3531.0,Stable
3532.0,Stable
3533.0,Stable
3534.0,Stable
3535.0,Stable
3536.0,Stable
3537.0,Stable
3538.0,Stable
3539.0,Stable
3540.0,Stable
3541.0,Stable
3542.0,Stable
3543.0,Stable
3544.0,Stable
3545.0,Stable
3546.0,Stable
3547.0,Stable
3548.0,Stable
3549.0,Stable
3550.0,Stable
3551.0,Stable
3552.0,Stable
3553.0,Stable
3554.0,Stable
3555.0,Stable
3556.0,Stable
3557.0,Stable
3558.0,Stable
3559.0,Stable
3560.0,Stable
3561.0,Stable
3562.0,Stable
3563.0,Stable
3564.0,Stable
3565.0,Stable
3566.0,Stable
3567.0,Stable
3568.0,Stable
3569.0,Stable
3570.0,Stable
3571.0,Stable
3572.0,Stable
3573.0,Stable
3574.0,Stable
3575.0,Stable
3576.0,Stable
3577.0,Stable
3578.0,Stable
3579.0,Stable
3580.0,Stable
3581.0,Stable
3582.0,Stable
3583.0,Stable
3584.0,Stable
3585.0,Stable
3586.0,Stable
3587.0,Stable
3588.0,Stable
3589.0,Stable
3590.0,Stable
3591.0,Stable
3592.0,Stable
3593.0,Stable
3594.0,Stable
3595.0,Stable
3596.0,Stable
3597.0,Stable
3598.0,Stable
3599.0,Stable
3600.0,Stable
3601.0,Stable
3602.0,Stable
3603.0,Stable
3604.0,Stable
3605.0,Stable
3606.0,Stable
3607.0,Stable
3608.0,Stable
