,Label
103,Stable
103.0333333,Stable
103.0666667,Stable
103.1,Stable
103.1333333,Stable
103.1666667,Stable
103.2,Stable
103.2333333,Stable
103.2666667,Stable
103.3,Stable
103.3333333,Stable
103.3666667,Stable
103.4,Stable
103.4333333,Stable
103.4666667,Stable
103.5,Stable
103.5333333,Stable
103.5666667,Stable
103.6,Stable
103.6333333,Stable
103.6666667,Stable
103.7,Stable
103.7333333,Stable
103.7666667,Stable
103.8,Stable
103.8333333,Stable
103.8666667,Stable
103.9,Stable
103.9333333,Stable
103.9666667,Stable
104,Stable
104.0333333,Stable
104.0666667,Stable
104.1,Stable
104.1333333,Stable
104.1666667,Stable
104.2,Stable
104.2333333,Stable
104.2666667,Stable
104.3,Stable
104.3333333,Stable
104.3666667,Stable
104.4,Stable
104.4333333,Stable
104.4666667,Stable
104.5,Stable
104.5333333,Stable
104.5666667,Stable
104.6,Stable
104.6333333,Stable
104.6666667,Stable
104.7,Stable
104.7333333,Stable
104.7666667,Stable
104.8,Stable
104.8333333,Stable
104.8666667,Stable
104.9,Stable
104.9333333,Stable
104.9666667,Stable
105,Stable
105.0333333,Stable
105.0666667,Stable
105.1,Stable
105.1333333,Stable
105.1666667,Stable
105.2,Stable
105.2333333,Stable
105.2666667,Stable
105.3,Stable
105.3333333,Stable
105.3666667,Stable
105.4,Stable
105.4333333,Stable
105.4666667,Stable
105.5,Stable
105.5333333,Stable
105.5666667,Stable
105.6,Stable
105.6333333,Stable
105.6666667,Stable
105.7,Stable
105.7333333,Stable
105.7666667,Stable
105.8,Stable
105.8333333,Stable
105.8666667,Stable
105.9,Stable
105.9333333,Stable
105.9666667,Stable
106,Stable
106.0333333,Stable
106.0666667,Stable
106.1,Stable
106.1333333,Stable
106.1666667,Stable
106.2,Stable
106.2333333,Stable
106.2666667,Stable
106.3,Stable
106.3333333,Stable
106.3666667,Stable
106.4,Stable
106.4333333,Stable
106.4666667,Stable
106.5,Stable
106.5333333,Stable
106.5666667,Stable
106.6,Stable
106.6333333,Stable
106.6666667,Stable
106.7,Stable
106.7333333,Stable
106.7666667,Stable
106.8,Stable
106.8333333,Stable
106.8666667,Stable
106.9,Stable
106.9333333,Stable
106.9666667,Stable
107,Stable
107.0333333,Stable
107.0666667,Stable
107.1,Stable
107.1333333,Stable
107.1666667,Stable
107.2,Stable
107.2333333,Stable
107.2666667,Stable
107.3,Stable
107.3333333,Stable
107.3666667,Stable
107.4,Stable
